transformed_input_for_generation,target
"Speaker LEONARD: Right. 
Speaker AMY: That's not true of all bars. Juice bars, for example. 
Speaker SHELDON: Oh! Good point, Amy.
Yeah, building on your premise, Leonard could frequent sushi bars, salad bars, oyster bars, the Apple Genius Bar... What are you doing? 
Speaker LEONARD: Keep going. I'm listening. 
Speaker AMY: That was rude. 
Speaker SHELDON: ",He does it all the time. He's a cornucopia of social awkwardness.
"Speaker MONICA: Do you always have to bring him here? 
Speaker ROSS: I didn't wanna leave him alone. Alright? 
Speaker ROSS: ",We- we had our first fight this morning.
"Speaker SHELDON: And this is a schematic for a bird-trapping device that will ultimately backfire and cause me physical injury? 
Speaker SHELDON: What I'm doing here is trying to determine when I'm going to die. 
Speaker LEONARD: ",A lot of people are working on that research. So what is all this?
"Speaker CHANDLER: I'll tell you what. When we're 40, if neither one of us are married, what do you say you and I get together and have one? 
Speaker MONICA: Why won't I be married when I'm 40? 
Speaker CHANDLER: ","Oh, no, no. I just meant hypothetically."
"Speaker ROSS: Hi umm, listen come here, come in. I'm so-so sorry about yesterday. 
Speaker ROSS: ",I-I'm really sorry. It's just that I
"Speaker LEONARD: No, that was a different, different guy. 
Speaker SHELDON: Was he the one who used your head to open a nut? 
Speaker SHELDON: Oh, oh, oh. 
Speaker SHELDON: Was he the one who made you eat your arm hair? 
Speaker LEONARD: No, but, actually, that was this guy's sister. 
Speaker PENNY: All right, well, what do you think he wants? 
Speaker LEONARD: I don't know. 
Speaker SHELDON: ","You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there."
"Speaker PERSON: Ooh.
He was so happy after he passed it, he gave me a Terminator. 
Speaker LEONARD: That is amazing.
How long have you been collecting? 
Speaker PERSON: Ever since I was a kid, but, uh, I didn't really get serious until William Shatner's bladder infection. 
Speaker SHELDON: What'd you get? What'd you get? 
Speaker PERSON: ","Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool."
"Speaker CHANDLER: Rach rach, we gotta settle 
Speaker RACHEL: Settle what? 
Speaker CHANDLER: ","The Jamestown colony of Virginia. You see King George is giving us the land, so."
"Speaker SHELDON: Hello. 
Speaker SHELDON: Uh, four glasses of water, please. 
Speaker SHELDON: Anything for you guys? 
Speaker LEONARD: Can I use your phone? 
Our car got stolen. 
Speaker PERSON: ",Why don't you ask Scotty to beam you up?
"Speaker AMY: I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me Raiders of the Lost Ark  for the first time. 
Speaker SHELDON: My apologies. I chose my words poorly.
I should have said you were about to have your world rocked on my couch. 
Speaker SHELDON: Anyway, thank you for watching it.
It's one of my all-time favorites. 
Speaker AMY: ",It was very entertaining... despite the glaring story problem.
"Speaker SHELDON: Oh, no! I can't! 
Speaker BERNADETTE: Hurry! 
We're running out of time! 
Speaker SHELDON: - Okay. 
Speaker BERNADETTE: Just do it! 
Speaker SHELDON: Oh, God!
One... two...
three! 
Speaker HOWARD: Trick or treat, bubbeleh. 
Speaker SHELDON: What?
(laughing) 
Speaker SHELDON: ","No. You mean this was all a ruse? Oh, how could I be so stu..."
"Speaker PHOEBE: Yeah. 
Speaker RACHEL: I go see my doctor tomorrow, I'll ask her about this. Maybe she can give me a pill or something. 
Speaker PHOEBE: ","Yeah. Yeah, that's what you need a good .. pill."
"Speaker MONICA: Enhh 
Speaker CHANDLER: I've got canned goods. 
Speaker JOEY: Hey, you guys! Take a look at this!  Check this baby out, dug me a hole! 
Speaker CHANDLER: ","Excellent hole, Joe."
"Speaker SHELDON: and a super executive ant farm with glow-in-the-dark sand? 
Speaker HOWARD: - What if he buys his own desk? 
Speaker RAJ: Yeah, what if I buy my own desk? 
Speaker SHELDON: - That's ridiculous. 
Speaker RAJ: - Why? 
Speaker SHELDON: Because… 
Speaker RAJ: Yes? 
Speaker SHELDON: It's my office. 
Speaker SHELDON: ","All right, all right. He can buy his own desk."
"Speaker ROSE: What kind of a movie is this Dorothy? 
Speaker DOROTHY: ",It's a musical Rose
"Speaker CHANDLER: Well, despite the yummy bagels and palpable tension, I have got pants that need to be altered. 
Speaker CHANDLER: ",You sure he is going to be able to crack that code?
"Speaker LEONARD: Do you really need the Honorary Justice League of American membership card? 
Speaker SHELDON: It's been in every wallet I've owned since I was five. 
Speaker LEONARD: Why? 
Speaker SHELDON: It says, ""Keep this on your person at all times."" 
Speaker SHELDON: It's right here under Batman's signature. 
Speaker RAJ: and this is Leonard and Sheldon's apartment. 
Speaker HOWARD: Guess whose parents just got broadband. 
Speaker RAJ: ","Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali."
"Speaker SHELDON: The backwash into this glass is every pathogen that calls your mouth home, sweet home. 
Speaker SHELDON: Not to mention the visitors who arrive on the dancing tongue of your subtropical girlfriend. 
Speaker RAJ: Hey! That's my sister and my country you're talking about. 
Speaker RAJ: Leonard may have defiled one, but I won't have you talking smack about the other. 
Speaker BERNADETTE: You guys ready to order? 
Speaker SHELDON: ","Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint."
"Speaker PERSON: Can I help you? 
Speaker CHANDLER: Uh-oh. 
Speaker JOEY: Uh, y'know what, we're having second thoughts about our copying needs. And we'll need a little more time to think about it. 
Speaker PERSON: ","Chloe, switch with me, there's some guys here that got a crush on you."
"Speaker BERNADETTE: So, what should we talk about? 
Speaker HOWARD: Well, we could always learn more about why people who believe in psychics are idiots. Leonard? 
Speaker PENNY: ","Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car."
"Speaker BERNADETTE: Who could get <i>all</i> the giant missiles she wants. 
Speaker AMY: Are we talking about women wanting penises? Because I'd like to weigh in. 
Speaker SHELDON: Dr. Koothrappali, would you care to join the conversation? 
Speaker RAJ: ","Certainly. I'd like to raise two points. Number one, I think they <i>are</i> talking about penises. And number two, these mimosas are kicking my little brown ass."
"Speaker CHANDLER: I can't take it any more! So you win, okay? Pheebs? Flying a jet? Better make it a spaceship so that you can get back to your home planet! And Ross, phone call for you today. Tom Jones, he wants his pants back! 
Speaker CHANDLER: ","And Hornswoggle? What? Are you dating a character from ""Fraggle Rock""? Ahh."
"Speaker CHANDLER: What am I gonna do now? 
Speaker RACHEL: Just pass the tape along. 
Speaker CHANDLER: ","Hes not right for the part, and if I suggest him my bosses are going to think I am an idiot. And thatÕs something they should learn on their own."
"Speaker PHOEBE: Oh so pretty, this must have cost him a fortune. 
Speaker CHANDLER: Oh c'mon Ross, remember back in college when he fell in love with Carol and bought the ridiculosly expensive crustal duck? 
Speaker RACHEL: What did you just say? 
Speaker CHANDLER: Crustal duck. 
Speaker RACHEL: No, no, no, the love part? Oh my god! 
Speaker JOEY: ","ThatÕs good, just keep rubbing your head. That will turn back time"
"Speaker ROSS: Yeah. He could row like a viking. 
Speaker MONICA: Hi. 
Speaker ROSS: ",So how'd it go?
"Speaker RAJ: I think we're fitting in quite nicely. 
Speaker HOWARD: It'd help if you weren't drinking light beer. 
Speaker RAJ: What's so gothic about vodka and cranberry juice? 
Speaker HOWARD: Hello? It looks like blood. 
Speaker HOWARD: Did you even read the ""Wiki how"" link I sent you on being Goth? 
Speaker RAJ: ","No, I'm behind on my Wiki-reading. I'm kind of on a John Grisham kick right now."
"Speaker JOEY: Well, what did you have? 
Speaker CHANDLER: It doesn't matter because nothing beats a three and a six. That my friend is D-Cup. 
Speaker CHANDLER: ","Okay, now much have you won so far?"
"Speaker PENNY: it's important to the story that my boobs be the last things to turn ape. 
Speaker LEONARD: It's sweet that he thinks there's a story. 
Speaker PENNY: Oh, and there's not even a bathroom on set.
I have to go to the gas station across the street. 
Speaker PENNY: I mean, I was dressed like half an ape and still not even close to the most disgusting person in there. 
Speaker SHELDON: Leonard, I could use your assistance. 
Speaker LEONARD: Sure. What's up? 
Speaker SHELDON: ","Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?"
"Speaker ROSS: Okay, that-that's all for today. Oh, uh does anyone know where the Freeman building is? 
Speaker PERSON: Yeah, it's the new building on Avenue A. 
Speaker ROSS: ",I'm supposed to teach a graduate seminar there in ten minutes.
"Speaker MONICA: About what? 
Speaker JOEY: He's planning your birthday party. 
Speaker MONICA: Oh my God! I love him! 
Speaker JOEY: ",You'd better act surprised.
"Speaker SHELDON: of your subtropical girlfriend. 
Speaker RAJ: Hey! That's my sister and my country you're talking about. 
Speaker RAJ: Leonard may have defiled one, but I won't have you talking smack about the other. 
Speaker BERNADETTE: You guys ready to order? 
Speaker SHELDON: Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint. 
Speaker BERNADETTE: I don't understand. 
Speaker SHELDON: ","He drank from Leonard's glass. ""He drank from Leonard's glass""-- the words they'll be carving into my tombstone."
"Speaker PERSON: Yes.
I'm Special Agent Page, FBI. 
Speaker SHELDON: You say you're Special Agent Page, FBI. 
Speaker PERSON: Here's my I.D. 
Speaker SHELDON: And here is my Justice League membership card. But that doesn't prove I know Batman. 
Speaker PERSON: ",I just want to ask you a few questions about Howard Wolowitz.
"Speaker ROSS: So Rachel called, wants to see me. Going over in a minute. 
Speaker JOEY: Wow, what do you think she wants? 
Speaker ROSS: Well, maybe the crazy fog has lifted and she realizes that life without me a sucks. 
Speaker CHANDLER: Its possible, you are very lovable. 
Speaker CHANDLER: ",I'd miss you if I broke up with you. Just trying to be supportive.
"Speaker SHELDON: For starters, they shed and bite. 
Speaker LEONARD: Hey, here's a thought.
Why don't we put up the rest of the money that Stuart needs? 
Speaker RAJ: So, we'd be, like, owners of a comic book store? 
Speaker LEONARD: It's kind of a dream come true. 
Speaker HOWARD: That does sound fun. 
Speaker RAJ: Ooh, maybe we could come up with a business plan to compete with this place. 
Speaker SHELDON: ",I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.
"Speaker MONICA: I know, it is isn't it? 
Speaker CHANDLER: No, I mean it, this feels really good. Is it a hundred percent cotton? 
Speaker MONICA: Yeah! And I got it on sale, too. 
Speaker CHANDLER: ","Anyway, I should go, one of the lifeguards was just about to dismantle a nuclear device."
"Speaker PENNY: Oh, sweetie, guests don't normally wear corsages to a wedding. 
That's more of a prom thing. 
Speaker AMY: I never went to my prom. 
My mom paid my cousin to take me, but he just used the money to buy drugs. 
Speaker PENNY: Put the corsage on her. 
Speaker LEONARD: When you're done copping a feel, that goes on my wrist. 
Speaker AMY: ","When you're done copping a feel, that goes on my wrist."
"Speaker DOROTHY: I am not talking to you 
Speaker BLANCHE: I guess you are still upset with me about last night aren't you? 
Speaker DOROTHY: ",No I am upset because crocodin turbs are wearing darker colors.
"Speaker ROSS: And sometimes I may be away longer, like this. But I'll still always come back, like this. 
Speaker CHANDLER: ","And sometimes I would want you to steal third, and I'll go like this."
"Speaker PERSON: So, what do you guys do? 
Speaker HOWARD: ","Oh, you know, Goth stuff. Goth magazines, Goth music."
"Speaker PERSON: Thank you, Leonard. That doesn't make it sound boring at all. 
Speaker AMY: So, how you holding up? 
Speaker PENNY: I'm fine. 
Speaker AMY: Oh, who are you kidding? She's breathtaking. 
Speaker PERSON: So, Penny, Leonard tells me you're an actress. That must be pretty exciting. 
Speaker PENNY: ","Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn."
"Speaker PERSON: [Laughs] 
Speaker CHANDLER: ","Wow you look just like your son, Mrs. Tribbiani"
"Speaker JOEY: Well, you're amazing. 
Speaker CHANDLER: Oh no-no-no. 
Speaker JOEY: A TV as if it appears from nowhere! That's the dream! Man, how did you afford this stuff? 
Speaker CHANDLER: ","Well, y'know I'm 29. I mean who needs a savings account."
"Speaker HOWARD: We can't show up to your mom's empty-handed. 
We should bring something. 
Speaker SHELDON: I already am.
I'm bringing the gift of knowledge. 
Speaker HOWARD: Oh, boy. 
Speaker SHELDON: Despite what her Bible says, recent archeological studies indicate that although camels are referenced in the Old Testament, they didn't exist in the Middle East until hundreds of years later. 
Speaker HOWARD: ",I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.
"Speaker PERSON1: That's enough. 
Speaker PERSON1: Call me. 
Speaker LEONARD: Right. 
Speaker PENNY: Okay, good night. 
Speaker PERSON2: What? 
Speaker PENNY: Had a great time. Ciao. 
Speaker SHELDON: ","I'm sorry, I am not going back to the Renaissance fair."
"Speaker PERSON: It has umm, three beautiful bedrooms and ah, no baths. But y'know, the ocean is right there. 
Speaker PHOEBE: Knock, knock, knock. 
Speaker PERSON: ","Ah, oh, hang on a second. Come in, come in. All right, so think about it, and call me back."
"Speaker SHELDON: And not the good Amazon with one-day shipping.
The awful one with birds and snakes. 
Speaker AMY: You hate the sound of all those keys on his key chain. 
Speaker SHELDON: Four keys!
Who does he think he is, a warden? 
Speaker AMY: See? Maybe you'll love living alone. 
Speaker SHELDON: I don't know. Perhaps. 
Speaker AMY: And if it turns out you don't... 
Speaker SHELDON: ","- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!"
"Speaker MONICA: Honey the Miami vice sound track? 
Speaker MONICA: ",Really?
"Speaker SCOTT: No seriouslty. 
Speaker MODERATOR: ",Sarcastic? Us? Nooo.
"Speaker PENNY: Hi. I'm Penny. This is my friend, Sheldon. 
Speaker SHELDON: We're not friends at the moment. Depends on how this goes. 
Speaker PENNY: Right, right. Anyway, Sheldon here is a huge fan of yours, and he was supposed to meet you the other day at the comic book store, but he kind of ended up in jail. 
Speaker PERSON: I see. And you thought you'd just come over to my house uninvited? 
Speaker SHELDON: You said we were invited. 
Speaker PENNY: ","Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house."
"Speaker PERSON: It's Jake. 
Speaker JOEY: Joey. Hey Jake, do you like the Knicks? 
Speaker PERSON: Yeah, big fan. 
Speaker JOEY: ","Me too! There's a game on Tuesday, do you wanna go?"
"Speaker RACHEL: We're not gonna do that. 
Speaker PERSON1: Well, if you like you can feel Rachel's and then feel mine to compare. 
Speaker PERSON2: Am I interrupting? 
Speaker ROSS: ",Uh yes! Thank you.
"Speaker RACHEL: Hi. Look um, about what happened earlier... 
Speaker ROSS: No, hey, well, I-I completely understand. You were, you were stressed. 
Speaker RACHEL: I was gonna give you a chance to apologise to me. 
Speaker ROSS: ",For what? For letting you throw me out of your office?
"Speaker LEONARD: I'm sorry about all of Sheldon's interruptions.
He can be a bit of an eccentric. 
Speaker PERSON: If by ""eccentric"" you mean passive-aggressive East Texas blowhole, I agree. 
Speaker LEONARD: ",I think tonight was a very good start.
"Speaker HOWARD: but wait to be captured or killed. 
Speaker PERSON: That's the worst part, the waiting. 
Speaker HOWARD: All the while knowing that there's a paint pellet out there with your name on it. 
Speaker PERSON: The big wet ball of death. 
Speaker PERSON: ","Kind of makes you feel more alive, doesn't it?"
"Speaker CHANDLER: Your tailor, is a very bad man. 
Speaker JOEY: Frankie what are you talking about? 
Speaker ROSS: Hey, whats going on? 
Speaker CHANDLER: Joey' trailer took advantage of me 
Speaker JOEY: No way, I have been going to the guy for twelve years 
Speaker CHANDLER: Oh c'mon, he said he was gonna do my inseam, then he ran his hand, up my leg and then there was definite 
Speaker ROSS: What? 
Speaker CHANDLER: Cupping. 
Speaker JOEY: That's how they do pants. First they go up they move it over, then they go up the other side and move it back, then they do the rear. What? Ross will you tell them? Isn't that how a tailor measures ? 
Speaker ROSS: ",Yes yes it is! In Prison!!
"Speaker CHANDLER: Hey Pheebs! 
Speaker PHOEBE: Ohh! You made up! 
Speaker MONICA: Yeah, I couldn't be mad at him for too long. 
Speaker CHANDLER: ","Yeah, she couldn't live without the Chan Love."
"Speaker CHANDLER: Joe? 
Speaker JOEY: Yeah! 
Speaker CHANDLER: Uh, you've had a lot of sex right? 
Speaker JOEY: ","When? Today? Some, not a lot."
"Speaker CHANDLER: Did I go to this school? 
Speaker ROSS: Hey, there's Missy Goldberg. You gotta remember her. 
Speaker CHANDLER: Sure, nice. 
Speaker ROSS: Dude. You're married to my sister. 
Speaker CHANDLER: ","You are right, by saying nice, I am virtually licking her."
"Speaker LEONARD: And shake twice for Texas. 
Speaker LEONARD: Something his mother taught him. 
Speaker SHELDON: All right, Elizabeth, the bathroom is yours. The seat is down, and has been sanitized for your protection. 
Speaker PERSON: ","That's very thoughtful, but I think I'll finish my coffee first."
"Speaker ROSS: No, come on don't start. Ouch! 
Speaker PERSON: What? 
Speaker ROSS: Stupid balls are in the way. 
Speaker ROSS: ",Oh well. It probably would've been the most constructive solution.
"Speaker SCOTT: I finally got to admit it to myself. I have got a sarcasm problem. 
Speaker MODERATOR: ",Well scott I am sure we are all really really looking forward to hear your story.
"Speaker DOROTHY: We thought you might like to join us for dinner? 
Speaker SOPHIA: I get the feeling Dorothy that you might be a little mad at me. Why is that? 
Speaker DOROTHY: ","How about stopping by new years eve with three naked women, throwing up in the pool, passing out in the punch bowl, and relieving yourself in the linen closet?"
"Speaker ROSS: I mean technically it's-it's not against the rules or anything, but it is frowned upon. Especially by that professor we ran into last night, Judgey von Holierthanthou. 
Speaker MONICA: Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents. 
Speaker ROSS: ",Yeah. What-what should I do?
"Speaker PERSON: I am not divorced yet. Chandler, you know you just invited me over here for pasta and all of a sudden you are talking about moving in together. I wasn't even that hungry. Its getting really late and I should just umm. 
Speaker CHANDLER: ",Oh no donÕt go. I have scared you. I have said too much. I am hopeless and awkward and desperate for love.
"Speaker AMY: That bitch is crafty. 
Speaker BERNADETTE: You think? 
Speaker AMY: Of course. How does the cheetah attack a herd of wildebeests? By going after its weakest member. 
Speaker BERNADETTE: Well, what makes me the weakest member? 
Speaker AMY: Your trusting nature coupled with your teeny-tiny body. You wouldn't last a minute on the Serengeti. 
Speaker PENNY: ","Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple."
"Speaker BLANCHE: They are ain't here yet 
Speaker DOROTHY: No, but they should be any minute 
Speaker ROSE: You seem a little nervous. 
Speaker DOROTHY: Oh you're sure I am 
Speaker ROSE: Are you nervous cause you haven't met Michael's fiancee? 
Speaker DOROTHY: ","No Rose, I am nervous because Sonny Bono gets elected mayor of Palm Springs, he is gonna make all the postmens wear leather bell bottoms and a fur vest."
"Speaker CHANDLER: Hold on, there is something different. 
Speaker ROSS: I went to their tanning place your wife suggested. 
Speaker CHANDLER: ",Was that place the sun?
"Speaker MONICA: So, um, will you bring the truck? 
Speaker PERSON: I'll even let you ring the bell. 
Speaker RACHEL: Oh, my god. 
Speaker PHOEBE: ","See, there you go, the cleansing works!"
"Speaker HOWARD: Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist. 
Speaker RAJ: Wait, your, your mother is sleeping with your dentist? 
Speaker HOWARD: Former dentist.
I need a new one now that I know where his hands have been. 
Speaker RAJ: So you're wandering all around by yourself?
That's not the kind of hero's welcome an astronaut should come home to. 
Speaker HOWARD: ","It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels."
"Speaker SHELDON: This will interest you. And, Penny, feel free to paint your nails. 
Speaker LEONARD: What do you got? 
Speaker SHELDON: I believe Alex may have unearthed the grade school science project that could be my ticket to the Nobel Prize. 
Speaker SHELDON: Behold. 
Speaker LEONARD: ""Magnets: What Do They Stick To?"" If the answer is ""metal,"" it's not exactly groundbreaking. 
Speaker SHELDON: ","The original title was ""A Rederivation of Maxwell's Equations Regarding Electromagnetism"""" I dumbed it down because some of the more religious people in town were starting to say I was a witch."
"Speaker PERSON: That's funny. Who are they? 
Speaker ROSS: The blond woman is my ex-wife, and the woman touching her is her... close, personal friend. 
Speaker PERSON: You mean they're lovers. 
Speaker ROSS: ",If you wanna put a label on it.
"Speaker CHANDLER: I know Richard's really nice and everything, it's just that we don't know him really well you know, plus he is old  ...  er than some people. 
Speaker CHANDLER: ",But younger than some buildings!
"Speaker RACHEL: Do you guys have any exta ribbon? 
Speaker CHANDLER: Oh yeah sure, what do you need? We got lace, satin, sateen, rafia, gingam , felt. 
Speaker CHANDLER: ",And I think my testicles may be in here too
"Speaker JOEY: Hey, Chan. Can you help me out here, I promise I'll pay you back. 
Speaker CHANDLER: ","Oh yeah ok, including the waffles last week, you now owe me, seventeen zillion dollars."
"Speaker PERSON: Well, I'm sure that, uh, you...
have a lot of questions. 
Speaker SHELDON: Who was he? 
Speaker PERSON: His name is Ron.
I met him at my prayer group. 
Speaker SHELDON: How long have you been involved with him? 
Speaker PERSON: A few months. 
Speaker SHELDON: ","And of those few months, how long have you been a demented sex pervert?"
"Speaker PHOEBE: And she was like ""Oh, don't worry! I asked him. He's totally ok with seeing you!"". 
Speaker PHOEBE: ",So now I have to go so he'll think that I'm totally ok with seeing him!
"Speaker PENNY: That was a really nice dinner. 
Speaker PENNY: I'm glad you asked me out again. 
Speaker LEONARD: Me, too; I missed you. 
Speaker PENNY: You see me all the time. 
Speaker PENNY: You sure you just don't miss the sex? 
Speaker LEONARD: ","Well, yeah, sex with you is pretty great. Have you ever tried it?"
"Speaker SHELDON: it's-it's what my grant was designated for, and that everybody has to do things they don't want to do. 
Speaker SHELDON: He then gave an example of something he had to do, even though he didn't want to, which was look at my stupid face. 
Speaker LEONARD: That's a rude thing to say. Out loud. 
Speaker SHELDON: It's an outrage.
Honestly, I'm tempted to leave the university. 
Speaker HOWARD: ","You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat."
"Speaker PERSON: I am sorry, why did Phoebe and Mike breakup? 
Speaker CHANDLER: ","Because his penis was too big. I am sorry, thatÕs the kind of thing I do."
"Speaker RAJ: Your movies and your TV shows promised streets paved with beautiful blonde women with big bazongas. 
Speaker HOWARD: Eat another pie, you'll have your own bazongas. 
Speaker RAJ: That's cruel. 
Speaker RAJ: You know it goes straight to my hips. 
Speaker SHELDON: Gentlemen, please focus. 
Speaker SHELDON: You're facing a fire-breathing dragon. 
Speaker RAJ: I don't know if I want to play anymore. 
Speaker SHELDON: ","Because you don't have a girlfriend? Well, good Lord, if that becomes a reason not to play Dungeons & Dragons, this game's in serious trouble."
"Speaker JOEY: Oh umm, my big scene is coming up. Big scene coming up. 
Speaker CHANDLER: If you said, ""Big lima bean, bubbling up."" Would she understand the difference? 
Speaker MONICA: Rach? What are you doing? 
Speaker RACHEL: ","Oh boy, I just can't watch. It's too scary!"
"Speaker CHANDLER: Hey 
Speaker JOEY: You son of a bitch! 
Speaker CHANDLER: ",Is it me or the greetings gone downhill around here?
"Speaker SHELDON: I don't believe it matters what the topic is. 
Speaker SHELDON: What's crucial for a salon is that we conduct the discussion in an elevated and insightful way. 
It's all about the execution. 
Speaker LEONARD: Of course you'd focus on that rather than the inspiration. 
Speaker LEONARD: Uh, new salon topic.
What's more important, an idea or its execution? 
Speaker BERNADETTE: Oh, that's fun. 
Speaker SHELDON: ","Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned."
"Speaker CHANDLER: Hey Ross I was wondering. 
Speaker CHANDLER: ","Oh my god, where are all the men?"
"Speaker RACHEL: You guys can pee standing up. 
Speaker CHANDLER: ",We can? Ok I am trying that.
"Speaker PERSON1: (chimes) Wisten to me.
Not westauwant; westauwant. 
Speaker PERSON2: (chimes) I don't know what you mean by ""not westauwant; westauwant."" 
Speaker PERSON1: See? Total cwap.
You suck, Siwi. 
Speaker RAJ: Hey, don't talk to her like that. 
She's a lady. 
Speaker PERSON1: ","Well, that wady took high-wes pictures of my junk wast night for Cwaigswist."
"Speaker HOWARD: That's very nice of you, but I made other plans. 
Speaker SHELDON: Well, just keep in mind that should you ever need a slightly apathetic tertiary friend, I stand at the ready. 
Speaker PERSON: Hi, Howard. Hi, Sheldon. 
Speaker SHELDON: Hello. Hey. 
Speaker RAJ: Why are you holding hands? I forbid you to hold hands. 
Speaker PERSON: Rajesh, you know Leonard and I spent the night together. 
Speaker RAJ: ","Yeah, but you were just sleeping, because I forboded you to have sex."
"Speaker RAJ: Buzz Lightyear is not real. 
Speaker HOWARD: No, that's not what I'm talking about. 
Speaker RAJ: Well, are you talking about when he thought he was real? 
Speaker HOWARD: No 
Speaker RAJ: Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz. 
Speaker HOWARD: ","Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash."""
"Speaker PERSON1: Baby, you're not that kind 
Speaker PERSON1: Don't go breaking my heart 
Speaker PERSON2: Anybody do ""Walking on Sunshine"" yet? 
Speaker SHELDON: No 
Speaker PERSON2: Dibs. 
Speaker PERSON3: ","I'm sorry, Sheldon bought a loom and learned how to weave?"
"Speaker JOEY: Oh no no, that's the beauty of it, it goes with everything. You put this on, you are good to go! 
Speaker CHANDLER: Hell I have never been good to go, so, what the hell why not try some jewellery huh? 
Speaker JOEY: Oh man! You are so wearing that bracelet! 
Speaker CHANDLER: I so am 
Speaker JOEY: You have any idea what this will do to your sex life? 
Speaker CHANDLER: ","Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track."
"Speaker AMY: ""And Absolon hath kist hir nether ye, ""and Nicholas is scalded in the towte.
This tale is doon, and God save al the rowte."" 
Speaker PENNY: What the hell was that? 
Speaker AMY: ","Bernadette dared me to tell a dirty story. ""The Miller's Tale"" by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks."
"Speaker RACHEL: All right, I'm outta here! 
Speaker MONICA: I'm kidding! I'm kidding! 
Speaker RACHEL: So were done then! 
Speaker PERSON: ","Almost! But first, we gotta start."
"Speaker RACHEL: Oh but look! That's gonna leave a stain! 
Speaker JOEY: Rach! Hey! It's fine! You're at Joey's! 
Speaker RACHEL: Really? 
Speaker JOEY: ",Yeah! Look!
"Speaker MONICA: Oh wait! Stop! Stop! Stop! 
Speaker CHANDLER: Oh I'm sorry! Do you need a break? 
Speaker MONICA: My boots in tan! Hey! Can you get a little closer so I can see the price? 
Speaker CHANDLER: ",I can see it from right here. It'll cost you one husband.
"Speaker PERSON: Leonard. Come, join us. 
Speaker LEONARD: Hey, Dave.
And Penny, what a surprise. 
Speaker PENNY: Dave was just showing me around the university. This place is unbelievable! 
Speaker LEONARD: I know, I've been offering to show you around for a year and a half. You always said you had yoga. 
Speaker LEONARD: ","- Maybe I heard you wrong. A lot of words sound like ""yoga."""
"Speaker DOROTHY: No rose. 
Speaker ROSE: Are you upset because Blanche is going to sell the house and we can't live together. 
Speaker DOROTHY: ",No I am upset because Joe Piscapo didn't get the lead role in rain man.
"Speaker PHOEBE: We couldn't keep our eyes off each other all night and then every once and a while y'know, he'd kinda lean over and stroke my hair and touch my neck. 
Speaker MONICA: Okay, stop it Phoebe, you're getting me all tingly. 
Speaker PHOEBE: All I could think of was y'know, ""Is he gonna kiss me? Is he gonna kiss me?"" 
Speaker MONICA: ",And did he?
"Speaker ROSS: Ok it was just me and her at the back of the train and I sat at the door so she had to pass by me if she like to switch cars. She was totally at my mercy. 
Speaker CHANDLER: ",Were you so late because you were burying this woman?
"Speaker RAJ: This man became my whole world. 
Speaker PERSON: Yeah, nice speech, Francine. 
Speaker RAJ: I'm not done, but thank you. 
Speaker RAJ: I think back.... 
Speaker RAJ: ","...to all the good times we had, like, uh, when we went camping and spent that night telling each other all our secrets. I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin."
